,gene_symbol,myAUC,myDiff,power,cluster #
2106,EIF1B,0.886,2.008369,0.386,16
2107,NCALD,0.858,1.949536,0.358,16
2108,RNF152,0.834,1.859704,0.334,16
2109,CALM1,0.949,1.848818,0.449,16
2110,CPLX3,0.910,1.811801,0.410,16
2111,GRIA3,0.813,1.803783,0.313,16
2112,CALB1,0.817,1.799962,0.317,16
2113,ATP1B1,0.887,1.769979,0.387,16
2114,NDRG4,0.841,1.747721,0.341,16
2115,CAMKV,0.808,1.717383,0.308,16
2116,CCSAP,0.761,1.662431,0.261,16
2117,PTPRF,0.775,1.659107,0.275,16
2118,RCAN2,0.772,1.642853,0.272,16
2119,STAC2,0.756,1.591278,0.256,16
2120,DLGAP1,0.780,1.588752,0.280,16
2121,DAB1,0.780,1.587313,0.280,16
2122,SCN1A,0.754,1.580647,0.254,16
2123,SLC24A2,0.728,1.578024,0.228,16
2124,ZYX,0.743,1.492083,0.243,16
2125,NFIA,0.764,1.487009,0.264,16
2126,PROX1,0.827,1.483800,0.327,16
2127,PLCH1,0.751,1.482505,0.251,16
2128,FGF1,0.739,1.462304,0.239,16
2129,ELAVL3,0.781,1.425611,0.281,16
2130,ZFP804A,0.727,1.413891,0.227,16
2131,FSTL5,0.765,1.396307,0.265,16
2132,PHLDA1,0.707,1.389106,0.207,16
2133,PPP1R1A,0.773,1.373425,0.273,16
2134,6430548M08RIK,0.808,1.371200,0.308,16
2135,LSAMP,0.751,1.359807,0.251,16
2136,SPOCK3,0.746,1.352438,0.246,16
2137,KCNMA1,0.784,1.346329,0.284,16
2138,PAK7,0.751,1.343190,0.251,16
2139,ATP6V1G2,0.757,1.336798,0.257,16
2140,KIF5C,0.756,1.296446,0.256,16
2141,TSPAN7,0.854,1.277924,0.354,16
2142,FBXW7,0.753,1.273232,0.253,16
2143,SYNPR,0.759,1.263414,0.259,16
2144,CACNG3,0.704,1.254853,0.204,16
2145,DARC,0.722,1.251447,0.222,16
2146,OSBPL1A,0.724,1.244547,0.224,16
2147,MEG3,0.832,1.232034,0.332,16
2148,SV2A,0.810,1.225364,0.310,16
2149,A030009H04RIK,0.718,1.223471,0.218,16
2150,TAGLN3,0.764,1.222365,0.264,16
2151,ANKS1B,0.716,1.213048,0.216,16
2152,GRIA4,0.728,1.165564,0.228,16
2153,SLC32A1,0.719,1.163084,0.219,16
2154,QDPR,0.713,1.151071,0.213,16
2155,TCEAL5,0.724,1.146794,0.224,16
2156,RIT2,0.742,1.138978,0.242,16
2157,TPI1,0.790,1.128863,0.290,16
2158,DPP6,0.712,1.125116,0.212,16
