,gene_symbol,myAUC,myDiff,power,cluster #
3239,LRTM1,1.3,30798 0.23,7    3,33
3240,APLP2,1.2,66608 0.33,0    3,33
3241,LIN7A,1.2,23872 0.24,0    3,33
3242,GNB3,1.2,19286 0.26,5    3,33
3243,PROX1,1.2,04813 0.21,6    3,33
3244,GPR179,1.1,92149 0.21,7    3,33
3245,HMGN3,1.1,83215 0.22,8    3,33
3246,SCG3,1.1,68200 0.22,9    3,33
3247,MAP4,1.1,05830 0.25,0    3,33
3248,FAM171B,1.0,92140 0.21,1    3,33
3249,PTPRD,1.0,69875 0.20,5    3,33
3250,GNAO1,1.0,68373 0.27,1    3,33
3251,NME1,1.0,58745 0.24,0    3,33
3252,SLC12A5,1.0,03819 0.20,3    3,33
3253,NRXN3,1.0,00143 0.20,2    3,33
3254,TULP1,-1.0,56098 0.20,7    3,33
3255,PRPH2,-1.2,74321 0.25,0    3,33
3256,PDE6B,-1.2,80609 0.22,4    3,33
3257,RCVRN,-1.2,86723 0.23,4    3,33
3258,NRL,-1.2,87522 0.20,2    3,33
3259,RP1,-1.2,88988 0.22,0    3,33
3260,NR2E3,-1.2,92005 0.20,1    3,33
3261,PDC,-1.3,61036 0.27,7    3,33
3262,GNGT1,-1.3,64027 0.27,4    3,33
3263,SAG,-1.3,86078 0.29,0    3,33
3264,GNAT1,-1.3,91683 0.25,4    3,33
3265,GNB1,-1.3,95529 0.26,0    3,33
3266,PDE6G,-1.4,09619 0.24,9    3,33
3267,RHO,-1.4,52949 0.28,7    3,33
3272,GLUL,0.983,3.674486,0.483,34
3273,APOE,0.984,3.656912,0.484,34
3274,RLBP1,0.972,3.488780,0.472,34
3275,CLU,0.954,3.300240,0.454,34
3276,SLC1A3,0.949,3.248626,0.449,34
3277,ACSL3,0.974,3.168933,0.474,34
3278,CYR61,0.778,3.161355,0.278,34
3279,CAR14,0.906,3.093884,0.406,34
3280,SPC25,0.907,3.027510,0.407,34
3281,COL9A1,0.909,2.992981,0.409,34
3282,JUN,0.836,2.955412,0.336,34
3283,DKK3,0.954,2.932319,0.454,34
3284,CP,0.899,2.916545,0.399,34
3285,ID3,0.858,2.906750,0.358,34
3286,DBI,0.935,2.847955,0.435,34
3287,CRYM,0.889,2.732641,0.389,34
3288,HES1,0.812,2.692426,0.312,34
3289,CD9,0.869,2.679822,0.369,34
3290,SPARC,0.943,2.675237,0.443,34
3291,FOS,0.791,2.665697,0.291,34
3292,AQP4,0.855,2.656964,0.355,34
3293,GPR37,0.875,2.652731,0.375,34
3294,DAPL1,0.852,2.601035,0.352,34
3295,KDR,0.861,2.589813,0.361,34
3296,PTN,0.872,2.531457,0.372,34
3297,ZFP36L1,0.773,2.523635,0.273,34
3298,TIMP3,0.839,2.505126,0.339,34
3299,ABCA8A,0.830,2.472855,0.330,34
3300,MFGE8,0.890,2.441779,0.390,34
3301,PRDX6,0.846,2.426776,0.346,34
3302,PDPN,0.813,2.317330,0.313,34
3303,ID2,0.756,2.307350,0.256,34
3304,SIX3OS1,0.835,2.306322,0.335,34
3305,DUSP1,0.707,2.262662,0.207,34
3306,SPON1,0.817,2.237870,0.317,34
3307,MT1,0.747,2.202169,0.247,34
3308,PPAP2B,0.792,2.196871,0.292,34
3309,ESPN,0.807,2.190774,0.307,34
3310,IER2,0.727,2.190246,0.227,34
3311,SAT1,0.786,2.185923,0.286,34
3312,CROT,0.798,2.153557,0.298,34
3313,NUDT4,0.848,2.150174,0.348,34
3314,CRYAB,0.771,2.112165,0.271,34
3315,VIM,0.814,2.088221,0.314,34
3316,EGR1,0.748,2.088219,0.248,34
3317,SOX9,0.740,2.082991,0.240,34
3318,RDH10,0.780,2.082476,0.280,34
3319,CAR2,0.913,2.045093,0.413,34
3320,ID1,0.733,2.038664,0.233,34
3321,GNAI2,0.802,2.032953,0.302,34
3322,VEGFA,0.776,2.021208,0.276,34
3323,NDRG2,0.791,2.017386,0.291,34
3324,CDH2,0.817,2.011985,0.317,34
3325,ENPP2,0.740,2.002079,0.240,34
3326,FLT1,0.768,1.988472,0.268,34
3327,COL23A1,0.777,1.987731,0.277,34
3328,MLC1,0.752,1.962605,0.252,34
3329,FXYD1,0.746,1.938091,0.246,34
3330,TRPM3,0.768,1.927747,0.268,34
3331,COX4I2,0.754,1.915573,0.254,34
3332,FXYD6,0.724,1.911993,0.224,34
3333,SOX2,0.737,1.898436,0.237,34
3334,TSC22D4,0.763,1.895771,0.263,34
3335,E130114P18RIK,0.743,1.893771,0.243,34
3336,PBXIP1,0.739,1.893285,0.239,34
3337,GPM6A,0.846,1.881375,0.346,34
3338,DDR1,0.734,1.861470,0.234,34
3339,ATP1B3,0.750,1.841852,0.250,34
3340,TGFB2,0.795,1.836747,0.295,34
3341,CAV1,0.718,1.808574,0.218,34
3342,CACNG4,0.784,1.804662,0.284,34
3343,UTP14B,0.709,1.801134,0.209,34
3344,IL33,0.706,1.782774,0.206,34
3345,SBSPON,0.710,1.779906,0.210,34
3346,KCNJ10,0.708,1.778244,0.208,34
3347,VCAM1,0.701,1.776161,0.201,34
3348,GAS1,0.706,1.770890,0.206,34
3349,WIPI1,0.754,1.729124,0.254,34
3350,PON2,0.714,1.720217,0.214,34
3351,GPM6B,0.823,1.671461,0.323,34
3352,CNN3,0.739,1.664857,0.239,34
3353,RTN4,0.883,1.661778,0.383,34
3354,ALDOC,0.803,1.656881,0.303,34
3355,JUND,0.742,1.643157,0.242,34
3356,CD63,0.726,1.593887,0.226,34
3357,BSG,0.854,1.587853,0.354,34
3358,SLMAP,0.741,1.575019,0.241,34
3359,TIMP2,0.703,1.573740,0.203,34
3360,TTYH1,0.861,1.556066,0.361,34
3361,ITM2B,0.852,1.552977,0.352,34
3362,SCD2,0.757,1.552154,0.257,34
3363,SYNPR,0.751,1.549654,0.251,34
3364,PAK3,0.718,1.514124,0.218,34
3365,OGFRL1,0.738,1.499757,0.238,34
3366,CTSL,0.787,1.492531,0.287,34
3367,RCN2,0.701,1.447565,0.201,34
3368,CD81,0.765,1.434966,0.265,34
3369,ATP1A1,0.711,1.429682,0.211,34
3370,MARCKS,0.793,1.390002,0.293,34
3371,HTRA1,0.721,1.369298,0.221,34
3372,LAPTM4A,0.737,1.348239,0.237,34
3373,ENO1,0.785,1.330226,0.285,34
3374,PFN2,0.730,1.324261,0.230,34
3375,SLC16A1,0.727,1.315201,0.227,34
3376,PAX6,0.721,1.279765,0.221,34
3377,PRDX1,0.702,1.197453,0.202,34
3378,TCF4,0.738,1.190289,0.238,34
3379,CDKN1B,0.722,1.184339,0.222,34
3380,RTN3,0.743,1.050844,0.243,34
3381,MGARP,0.836,1.038173,0.336,34
3382,TSPAN3,0.718,1.021941,0.218,34
3383,HSP90AA1,0.234,-1.192803,0.266,34
3384,HMGN1,0.196,-1.565337,0.304,34
3385,SLC6A6,0.299,-1.608774,0.201,34
3386,MAP1B,0.292,-1.609128,0.208,34
3387,TMA7,0.272,-1.689161,0.228,34
3388,STX3,0.298,-1.711322,0.202,34
3389,SYT1,0.269,-1.758105,0.231,34
3390,UNC119,0.221,-1.758329,0.279,34
3391,CRX,0.297,-1.766956,0.203,34
3392,CNGB1,0.293,-1.776328,0.207,34
3393,SNAP25,0.257,-1.829279,0.243,34
3394,PDE6A,0.287,-1.834439,0.213,34
3395,FAM57B,0.261,-1.845724,0.239,34
3396,MPP4,0.298,-1.849733,0.202,34
3397,AIPL1,0.277,-1.875251,0.223,34
3398,GNB1,0.184,-1.966538,0.316,34
3399,NRL,0.233,-1.974974,0.267,34
3400,RS1,0.234,-1.987316,0.266,34
3401,SLC24A1,0.241,-1.988035,0.259,34
3402,NEUROD1,0.241,-2.000359,0.259,34
3403,RP1,0.205,-2.033017,0.295,34
3404,CNGA1,0.229,-2.048482,0.271,34
3405,RCVRN,0.190,-2.103059,0.310,34
3406,PDE6B,0.202,-2.104712,0.298,34
3407,ROM1,0.189,-2.109556,0.311,34
3408,NR2E3,0.226,-2.125234,0.274,34
3409,PDE6G,0.178,-2.131050,0.322,34
3410,A930011O12RIK,0.237,-2.131781,0.263,34
3411,TULP1,0.171,-2.188185,0.329,34
3412,GNAT1,0.173,-2.189741,0.327,34
3413,PDC,0.148,-2.206493,0.352,34
3414,PRPH2,0.159,-2.230242,0.341,34
3415,GNGT1,0.140,-2.230657,0.360,34
3416,RHO,0.141,-2.253663,0.359,34
3417,RPGRIP1,0.210,-2.271849,0.290,34
3418,SAG,0.131,-2.316081,0.369,34
3423,IGFBP5,0.980,3.971539,0.480,35
3424,IGF2,0.969,3.900102,0.469,35
3425,PTN,0.967,3.682716,0.467,35
3426,S100B,0.935,3.590062,0.435,35
3427,PDGFRA,0.935,3.318071,0.435,35
3428,CST3,0.999,3.249334,0.499,35
3429,APOE,0.969,2.946241,0.469,35
3430,ALDOC,0.949,2.788765,0.449,35
3431,CTGF,0.840,2.723195,0.340,35
3432,ID3,0.891,2.635791,0.391,35
3433,SPARC,0.977,2.633834,0.477,35
3434,MLC1,0.882,2.632886,0.382,35
3435,NTRK2,0.878,2.607959,0.378,35
3436,RGS5,0.854,2.582399,0.354,35
3437,DBI,0.929,2.569035,0.429,35
3438,CNTNAP2,0.890,2.499012,0.390,35
3439,1500015O10RIK,0.759,2.470979,0.259,35
3440,GFAP,0.796,2.454143,0.296,35
3441,ATP1A2,0.882,2.442214,0.382,35
3442,LECT1,0.820,2.435971,0.320,35
3443,CP,0.888,2.423026,0.388,35
3444,PPAP2B,0.858,2.381629,0.358,35
3445,SLC1A3,0.873,2.359476,0.373,35
3446,CD9,0.882,2.341085,0.382,35
3447,FXYD6,0.856,2.288842,0.356,35
3448,SCD2,0.878,2.195817,0.378,35
3449,CLU,0.938,2.194379,0.438,35
3450,CXCL12,0.822,2.156066,0.322,35
3451,SLC4A4,0.809,2.154664,0.309,35
3452,ITM2B,0.960,2.154164,0.460,35
3453,SLC30A10,0.812,2.149123,0.312,35
3454,CLEC18A,0.731,2.137565,0.231,35
3455,TIMP3,0.815,2.122132,0.315,35
3456,CRIM1,0.804,2.079012,0.304,35
3457,SLC6A11,0.799,2.061326,0.299,35
3458,PRDX6,0.828,2.056543,0.328,35
3459,GLUL,0.902,2.039792,0.402,35
3460,IGFBP2,0.762,2.038345,0.262,35
3461,CLDN10,0.759,2.007019,0.259,35
3462,TSC22D4,0.805,1.983938,0.305,35
3463,CRIP1,0.784,1.981687,0.284,35
3464,GPM6B,0.894,1.956617,0.394,35
3465,CD36,0.713,1.930346,0.213,35
3466,MGST1,0.793,1.926971,0.293,35
3467,MGLL,0.813,1.906835,0.313,35
3468,SPON1,0.794,1.903975,0.294,35
3469,MT1,0.762,1.901464,0.262,35
3470,FN1,0.742,1.898765,0.242,35
3471,CGNL1,0.727,1.886294,0.227,35
3472,EPAS1,0.769,1.878394,0.269,35
3473,DDAH1,0.831,1.877818,0.331,35
3474,PAM,0.815,1.876076,0.315,35
3475,VIM,0.816,1.805763,0.316,35
3476,TGFB2,0.824,1.793167,0.324,35
3477,PDLIM3,0.744,1.782440,0.244,35
3478,NPC2,0.807,1.762614,0.307,35
3479,PDPN,0.798,1.757502,0.298,35
3480,CTSL,0.856,1.746857,0.356,35
3481,ID2,0.770,1.744332,0.270,35
3482,LAPTM4A,0.810,1.727350,0.310,35
3483,B2M,0.749,1.719217,0.249,35
3484,FXYD1,0.774,1.684176,0.274,35
3485,MT3,0.756,1.655593,0.256,35
3486,GJA1,0.748,1.648157,0.248,35
3487,1810037I17RIK,0.781,1.644679,0.281,35
3488,LCAT,0.731,1.627679,0.231,35
3489,ID4,0.760,1.626869,0.260,35
3490,CMTM5,0.748,1.625331,0.248,35
3491,MMD2,0.807,1.619960,0.307,35
3492,GPX8,0.733,1.614363,0.233,35
3493,AGT,0.754,1.613099,0.254,35
3494,AP1S2,0.734,1.593596,0.234,35
3495,CTSD,0.755,1.587762,0.255,35
3496,PMP22,0.715,1.581249,0.215,35
3497,CNN3,0.768,1.550185,0.268,35
3498,TRPM3,0.720,1.527377,0.220,35
3499,CD81,0.805,1.514989,0.305,35
3500,TMEM47,0.743,1.510235,0.243,35
3501,SNED1,0.725,1.495801,0.225,35
3502,NDRG2,0.766,1.486505,0.266,35
3503,CDH13,0.708,1.469163,0.208,35
3504,JUN,0.742,1.464296,0.242,35
3505,HES1,0.739,1.463197,0.239,35
3506,SERPINH1,0.739,1.457804,0.239,35
3507,QK,0.771,1.444155,0.271,35
3508,BCAN,0.731,1.443889,0.231,35
3509,ANXA5,0.723,1.441585,0.223,35
3510,ABHD4,0.735,1.440876,0.235,35
3511,PAX8,0.704,1.424204,0.204,35
3512,PLA2G16,0.703,1.398253,0.203,35
3513,6330403K07RIK,0.718,1.387964,0.218,35
3514,RCN1,0.711,1.387198,0.211,35
3515,FBXO2,0.723,1.385921,0.223,35
3516,CRYAB,0.713,1.384143,0.213,35
3517,ITGB1,0.743,1.382103,0.243,35
3518,MAP4K4,0.740,1.374146,0.240,35
3519,METRN,0.721,1.367026,0.221,35
3520,CTNNBIP1,0.730,1.364700,0.230,35
3521,ATP1A1,0.763,1.364599,0.263,35
3522,CNTN1,0.742,1.359653,0.242,35
3523,APPL2,0.720,1.347765,0.220,35
3524,TCEAL3,0.756,1.330603,0.256,35
3525,NFIA,0.705,1.316319,0.205,35
3526,MYO6,0.743,1.310000,0.243,35
3527,SOX2,0.709,1.306380,0.209,35
3528,LSAMP,0.731,1.294332,0.231,35
3529,BTBD3,0.701,1.285695,0.201,35
3530,NFIB,0.726,1.284242,0.226,35
3531,SPARCL1,0.774,1.275405,0.274,35
3532,CD63,0.712,1.268344,0.212,35
3533,TSPAN3,0.826,1.263679,0.326,35
3534,SOX9,0.725,1.263136,0.225,35
3535,SYT11,0.710,1.252546,0.210,35
3536,DKK3,0.819,1.250533,0.319,35
3537,ADD3,0.761,1.231412,0.261,35
3538,OGFRL1,0.710,1.229288,0.210,35
3539,TES,0.701,1.187409,0.201,35
3540,DAD1,0.715,1.143170,0.215,35
3541,CDH2,0.744,1.142469,0.244,35
3542,APP,0.767,1.135626,0.267,35
3543,GNAS,0.806,1.122998,0.306,35
3544,BSG,0.772,1.113302,0.272,35
3545,PSAP,0.756,1.094708,0.256,35
3546,LMAN1,0.753,1.089473,0.253,35
3547,CRIP2,0.718,1.082840,0.218,35
3548,LAMP1,0.751,1.065592,0.251,35
3549,LAMP2,0.715,1.045180,0.215,35
3550,SORBS2,0.703,1.035769,0.203,35
3551,SIX3,0.733,1.025975,0.233,35
3552,SEPT2,0.722,1.024609,0.222,35
3553,PAK3,0.703,1.016054,0.203,35
3554,LRPAP1,0.709,1.015462,0.209,35
3555,D4WSU53E,0.293,-1.205302,0.207,35
3556,HSP90AA1,0.233,-1.301165,0.267,35
3557,HMGN1,0.214,-1.515951,0.286,35
3558,UNC119,0.265,-1.543727,0.235,35
3559,TMA7,0.282,-1.609110,0.218,35
3560,RS1,0.258,-1.739989,0.242,35
3561,EPB4.1,0.294,-1.784873,0.206,35
3562,ROM1,0.228,-1.795256,0.272,35
3563,SNAP25,0.269,-1.797526,0.231,35
3564,A930011O12RIK,0.269,-1.804349,0.231,35
3565,RP1,0.237,-1.805896,0.263,35
3566,NRL,0.269,-1.838217,0.231,35
3567,NR2E3,0.251,-1.864726,0.249,35
3568,GNB1,0.199,-1.937908,0.301,35
3569,PRPH2,0.189,-1.965544,0.311,35
3570,CNGA1,0.249,-1.979693,0.251,35
3571,NEUROD1,0.257,-1.983968,0.243,35
3572,CNGB1,0.290,-1.997218,0.210,35
3573,RCVRN,0.209,-2.010392,0.291,35
3574,RPGRIP1,0.236,-2.027461,0.264,35
3575,SYT1,0.262,-2.027895,0.238,35
3576,GNAT1,0.203,-2.043737,0.297,35
3577,PDE6A,0.291,-2.060641,0.209,35
3578,TULP1,0.203,-2.069090,0.297,35
3579,FAM57B,0.254,-2.158818,0.246,35
3580,PDE6B,0.206,-2.203795,0.294,35
3581,PDE6G,0.188,-2.230095,0.312,35
3582,SLC24A1,0.245,-2.235394,0.255,35
3583,PDC,0.159,-2.252119,0.341,35
3584,GNGT1,0.151,-2.277344,0.349,35
3585,RHO,0.143,-2.360853,0.357,35
3586,SAG,0.138,-2.476095,0.362,35
3591,OPTC,0.947,4.425130,0.447,36
3592,CRHBP,0.964,3.776445,0.464,36
3593,ATP1A2,0.951,3.648260,0.451,36
3594,COL9A1,0.976,3.554007,0.476,36
3595,PTGDS,0.915,3.501014,0.415,36
3596,COL18A1,0.946,3.487830,0.446,36
3597,GJA1,0.923,3.420054,0.423,36
3598,FBLN1,0.906,3.182397,0.406,36
3599,IGFBP2,0.885,3.142612,0.385,36
3600,PTN,0.915,3.008914,0.415,36
3601,PENK,0.787,2.989587,0.287,36
3602,CP,0.950,2.984993,0.450,36
3603,FBN2,0.911,2.956232,0.411,36
3604,DAPL1,0.863,2.902905,0.363,36
3605,SNED1,0.879,2.890684,0.379,36
3606,FSTL1,0.908,2.867043,0.408,36
3607,APOE,0.978,2.824762,0.478,36
3608,PVRL3,0.899,2.796596,0.399,36
3609,SPARC,0.956,2.740817,0.456,36
3610,FBN1,0.858,2.736953,0.358,36
3611,TIMP3,0.894,2.725876,0.394,36
3612,ATP1B3,0.887,2.707483,0.387,36
3613,COL23A1,0.899,2.618279,0.399,36
3614,DKK3,0.960,2.573613,0.460,36
3615,RELN,0.859,2.549885,0.359,36
3616,TSC22D1,0.901,2.516971,0.401,36
3617,APP,0.951,2.481702,0.451,36
3618,MFAP4,0.829,2.416559,0.329,36
3619,NTRK2,0.858,2.412425,0.358,36
3620,MEST,0.869,2.407366,0.369,36
3621,LTBP1,0.846,2.364761,0.346,36
3622,VCAN,0.805,2.364323,0.305,36
3623,OGN,0.794,2.342607,0.294,36
3624,FAM129A,0.805,2.301763,0.305,36
3625,ALDH1A1,0.771,2.278916,0.271,36
3626,COL9A2,0.808,2.241696,0.308,36
3627,IQGAP2,0.797,2.216483,0.297,36
3628,NBL1,0.810,2.211997,0.310,36
3629,MFAP2,0.807,2.209952,0.307,36
3630,IGFBP7,0.829,2.206748,0.329,36
3631,MDK,0.795,2.178341,0.295,36
3632,COL2A1,0.792,2.165488,0.292,36
3633,ZIC1,0.775,2.152048,0.275,36
3634,TMPRSS11E,0.747,2.138906,0.247,36
3635,RHOJ,0.813,2.116804,0.313,36
3636,TRPM3,0.813,2.116794,0.313,36
3637,COL9A3,0.788,2.116159,0.288,36
3638,NUDT4,0.864,2.107740,0.364,36
3639,FMOD,0.776,2.038997,0.276,36
3640,BMP4,0.764,2.005755,0.264,36
3641,SFRP1,0.775,2.003735,0.275,36
3642,SLC6A13,0.740,1.996986,0.240,36
3643,SLC13A4,0.759,1.992519,0.259,36
3644,WFDC1,0.745,1.992328,0.245,36
3645,CTSL,0.889,1.973272,0.389,36
3646,SERPINH1,0.797,1.970538,0.297,36
3647,LTBP3,0.776,1.954298,0.276,36
3648,PKP4,0.778,1.935166,0.278,36
3649,CCND2,0.733,1.887738,0.233,36
3650,HTRA1,0.778,1.884120,0.278,36
3651,MGST1,0.756,1.883879,0.256,36
3652,FOLR1,0.750,1.882648,0.250,36
3653,COL4A5,0.756,1.862932,0.256,36
3654,CPQ,0.756,1.838248,0.256,36
3655,GAS1,0.744,1.835410,0.244,36
3656,CTSD,0.841,1.824145,0.341,36
3657,OCIAD2,0.741,1.818916,0.241,36
3658,LIPA,0.746,1.818661,0.246,36
3659,ZIC4,0.711,1.807990,0.211,36
3660,LAPTM4A,0.849,1.799329,0.349,36
3661,SGK1,0.742,1.797747,0.242,36
3662,B3GALTL,0.760,1.785010,0.260,36
3663,OLFML2A,0.723,1.760141,0.223,36
3664,CD63,0.761,1.734796,0.261,36
3665,TGFB2,0.798,1.720278,0.298,36
3666,CGN,0.735,1.702379,0.235,36
3667,BMP2,0.729,1.701840,0.229,36
3668,LRP1,0.733,1.697547,0.233,36
3669,SDC2,0.757,1.685581,0.257,36
3670,TKT,0.792,1.652767,0.292,36
3671,GLDC,0.725,1.644414,0.225,36
3672,CLDN19,0.741,1.636605,0.241,36
3673,TNFRSF21,0.714,1.626433,0.214,36
3674,COL11A1,0.723,1.621136,0.223,36
3675,TENM4,0.743,1.620626,0.243,36
3676,NFIB,0.761,1.612994,0.261,36
3677,VIM,0.779,1.590580,0.279,36
3678,GNG11,0.717,1.589828,0.217,36
3679,CTSH,0.716,1.586077,0.216,36
3680,CNTN1,0.733,1.583022,0.233,36
3681,HES1,0.757,1.576002,0.257,36
3682,SHISA2,0.736,1.573728,0.236,36
3683,MAB21L2,0.752,1.549083,0.252,36
3684,DEFB9,0.706,1.541091,0.206,36
3685,ILDR2,0.709,1.510602,0.209,36
3686,GPX8,0.716,1.484254,0.216,36
3687,PAM,0.736,1.479638,0.236,36
3688,ABI3BP,0.711,1.477928,0.211,36
3689,CD59A,0.728,1.450541,0.228,36
3690,PODXL2,0.765,1.434651,0.265,36
3691,SLC41A1,0.710,1.434087,0.210,36
3692,CD81,0.780,1.424905,0.280,36
3693,CLU,0.795,1.422895,0.295,36
3694,SLC6A6,0.827,1.411126,0.327,36
3695,PAX6,0.752,1.379180,0.252,36
3696,MT-ND6,0.709,1.365749,0.209,36
3697,MT-ND5,0.839,1.364084,0.339,36
3698,PLXNB2,0.701,1.363449,0.201,36
3699,FLRT1,0.703,1.311944,0.203,36
3700,TMEM176B,0.705,1.288783,0.205,36
3701,SDC4,0.741,1.282822,0.241,36
3702,BSG,0.792,1.276199,0.292,36
3703,GM26924,0.759,1.260216,0.259,36
3704,MT-ND2,0.832,1.231683,0.332,36
3705,RRBP1,0.721,1.223343,0.221,36
3706,SLC2A1,0.725,1.220867,0.225,36
3707,CAR14,0.716,1.170677,0.216,36
3708,CD47,0.717,1.167718,0.217,36
3709,PDIA3,0.727,1.157075,0.227,36
3710,GLUL,0.810,1.149020,0.310,36
3711,RCN2,0.716,1.108386,0.216,36
3712,MT-ND4,0.810,1.009844,0.310,36
3713,SYT1,0.291,-1.338995,0.209,36
3714,HSP90AA1,0.202,-1.484852,0.298,36
3715,RS1,0.240,-1.616647,0.260,36
3716,CNGA1,0.263,-1.629758,0.237,36
3717,SNAP25,0.279,-1.656418,0.221,36
3718,HMGN1,0.195,-1.672425,0.305,36
3719,PDE6A,0.293,-1.773595,0.207,36
3720,GNB1,0.208,-1.790238,0.292,36
3721,SLC24A1,0.246,-1.800033,0.254,36
3722,AIPL1,0.285,-1.800568,0.215,36
3723,UNC119,0.225,-1.801700,0.275,36
3724,A930011O12RIK,0.250,-1.828064,0.250,36
3725,ROM1,0.211,-1.886096,0.289,36
3726,NEUROD1,0.245,-1.893158,0.255,36
3727,FAM57B,0.258,-1.960973,0.242,36
3728,NR2E3,0.238,-1.986178,0.262,36
3729,PDE6B,0.210,-2.023997,0.290,36
3730,MGARP,0.241,-2.025761,0.259,36
3731,RPGRIP1,0.225,-2.056657,0.275,36
3732,CNGB1,0.284,-2.060958,0.216,36
3733,NRL,0.235,-2.076837,0.265,36
3734,TULP1,0.187,-2.098105,0.313,36
3735,RP1,0.204,-2.140954,0.296,36
3736,GNGT1,0.151,-2.144535,0.349,36
3737,RCVRN,0.203,-2.146519,0.297,36
3738,PDC,0.153,-2.195983,0.347,36
3739,RHO,0.143,-2.197936,0.357,36
3740,PDE6G,0.185,-2.223749,0.315,36
3741,GNAT1,0.181,-2.279163,0.319,36
3742,SAG,0.133,-2.287358,0.367,36
3743,PRPH2,0.165,-2.298866,0.335,36
3748,IGFBP7,0.980,3.838996,0.480,37
3749,CLDN5,0.944,3.452232,0.444,37
3750,RGS5,0.778,3.413786,0.278,37
3751,PTPRB,0.938,3.322368,0.438,37
3752,SPARCL1,0.977,3.260195,0.477,37
3753,SPARC,0.985,3.222677,0.485,37
3754,ITM2A,0.928,3.082648,0.428,37
3755,COL4A1,0.923,3.047394,0.423,37
3756,ELTD1,0.934,3.005777,0.434,37
3757,LY6C1,0.843,2.932233,0.343,37
3758,CTLA2A,0.883,2.913169,0.383,37
3759,PLTP,0.880,2.911192,0.380,37
3760,FLT1,0.945,2.907156,0.445,37
3761,FN1,0.895,2.874017,0.395,37
3762,CD93,0.896,2.763199,0.396,37
3763,RAMP2,0.900,2.687166,0.400,37
3764,BSG,0.959,2.670912,0.459,37
3765,SEPP1,0.867,2.663650,0.367,37
3766,GPR116,0.888,2.662459,0.388,37
3767,FAM101B,0.869,2.611442,0.369,37
3768,MGP,0.747,2.598253,0.247,37
3769,COL4A2,0.884,2.569211,0.384,37
3770,EGFL7,0.861,2.554202,0.361,37
3771,SLCO1A4,0.819,2.547434,0.319,37
3772,TMSB4X,0.958,2.538077,0.458,37
3773,LY6E,0.880,2.518953,0.380,37
3774,SPOCK2,0.887,2.484721,0.387,37
3775,GNG11,0.852,2.460344,0.352,37
3776,SLC7A5,0.832,2.450158,0.332,37
3777,CD34,0.849,2.334600,0.349,37
3778,VWA1,0.836,2.320906,0.336,37
3779,ITGB1,0.848,2.317870,0.348,37
3780,ABCB1A,0.837,2.296619,0.337,37
3781,TM4SF1,0.819,2.273045,0.319,37
3782,PECAM1,0.833,2.249158,0.333,37
3783,LAMA4,0.840,2.246115,0.340,37
3784,CDH5,0.843,2.239309,0.343,37
3785,ETS1,0.824,2.194360,0.324,37
3786,SLCO1C1,0.775,2.175053,0.275,37
3787,SERPINH1,0.825,2.169857,0.325,37
3788,ESAM,0.825,2.149808,0.325,37
3789,SLC16A1,0.835,2.128338,0.335,37
3790,AU021092,0.815,2.116002,0.315,37
3791,SLC2A1,0.871,2.108619,0.371,37
3792,KLF2,0.782,2.108125,0.282,37
3793,NRP1,0.794,2.092760,0.294,37
3794,IFITM3,0.800,2.075435,0.300,37
3795,MFSD2A,0.771,2.062993,0.271,37
3796,ENG,0.803,2.050977,0.303,37
3797,LAMB1,0.794,2.044396,0.294,37
3798,GNAI2,0.858,2.034857,0.358,37
3799,CALD1,0.771,2.033018,0.271,37
3800,APOD,0.731,2.014340,0.231,37
3801,B2M,0.807,2.012573,0.307,37
3802,TPM4,0.812,2.011884,0.312,37
3803,TSC22D1,0.865,1.988874,0.365,37
3804,NID1,0.786,1.988835,0.286,37
3805,AHNAK,0.770,1.972169,0.270,37
3806,MYL12A,0.799,1.968519,0.299,37
3807,HTRA3,0.785,1.966620,0.285,37
3808,KDR,0.851,1.957857,0.351,37
3809,VIM,0.825,1.918437,0.325,37
3810,MYH9,0.792,1.914794,0.292,37
3811,ECE1,0.810,1.899870,0.310,37
3812,EPAS1,0.790,1.873475,0.290,37
3813,LY6A,0.714,1.841976,0.214,37
3814,FOXQ1,0.774,1.840602,0.274,37
3815,TEK,0.756,1.838929,0.256,37
3816,NES,0.766,1.837284,0.266,37
3817,ECSCR,0.750,1.827206,0.250,37
3818,PALMD,0.770,1.814667,0.270,37
3819,SLC7A1,0.757,1.765044,0.257,37
3820,ACTB,0.956,1.764859,0.456,37
3821,RGCC,0.731,1.760596,0.231,37
3822,MSN,0.775,1.756457,0.275,37
3823,PTRF,0.750,1.756409,0.250,37
3824,ANXA3,0.767,1.756155,0.267,37
3825,BC028528,0.764,1.746908,0.264,37
3826,VWF,0.738,1.729667,0.238,37
3827,SLC9A3R2,0.747,1.721684,0.247,37
3828,FZD6,0.758,1.719270,0.258,37
3829,ANXA2,0.762,1.715881,0.262,37
3830,SLC39A10,0.752,1.715856,0.252,37
3831,TIE1,0.748,1.715698,0.248,37
3832,PPIC,0.754,1.692879,0.254,37
3833,KITL,0.723,1.688131,0.223,37
3834,APLNR,0.730,1.686510,0.230,37
3835,PLXND1,0.731,1.679477,0.231,37
3836,SRGN,0.750,1.678497,0.250,37
3837,CRIP2,0.780,1.677601,0.280,37
3838,SPTBN1,0.865,1.671355,0.365,37
3839,RRBP1,0.798,1.669390,0.298,37
